i	code	mirror	scanner hex
269	BRPVL		0x0d 0x01
270	BRPTL		0x0e 0x01
271	-----		0x0f 0x01
272	-----		0x10 0x01
273	-----		0x11 0x01
274	-----		0x12 0x01
275	-----		0x13 0x01
276	-----		0x14 0x01
277	-----		0x15 0x01
278	-----		0x16 0x01
279	-----		0x17 0x01
280	-----		0x18 0x01
281	-----		0x19 0x01
282	-----		0x1a 0x01
283	-----		0x1b 0x01
284	-----		0x1c 0x01
285	-----		0x1d 0x01
286	-----		0x1e 0x01
287	-----		0x1f 0x01
288	-----		0x20 0x01
289	-----		0x21 0x01
290	-----		0x22 0x01
291	-----		0x23 0x01
292	-----		0x24 0x01
293	-----		0x25 0x01
294	-----		0x26 0x01
295	-----		0x27 0x01
296	-----		0x28 0x01
297	-----		0x29 0x01
298	-----		0x2a 0x01
299	-----		0x2b 0x01
300	-----		0x2c 0x01
301	BRYPG		0x2d 0x01
302	-----		0x2e 0x01
303	BRYVG		0x2f 0x01
304	BRYTG		0x30 0x01
305	BRYLG		0x31 0x01
306	BRYGP		0x32 0x01
307	-----		0x33 0x01
308	BRYVP		0x34 0x01
309	BRYTP		0x35 0x01
310	BRYLP		0x36 0x01
311	-----		0x37 0x01
312	-----		0x38 0x01
313	-----		0x39 0x01
314	-----		0x3a 0x01
315	-----		0x3b 0x01
316	BRYGV		0x3c 0x01
317	BRYPV		0x3d 0x01
318	-----		0x3e 0x01
319	BRYTV		0x3f 0x01
320	BRYLV		0x40 0x01
321	BRYGT		0x41 0x01
322	BRYPT		0x42 0x01
323	-----		0x43 0x01
324	BRYVT		0x44 0x01
325	BRYLT		0x45 0x01
326	BRYGL		0x46 0x01
327	BRYPL		0x47 0x01
328	-----		0x48 0x01
329	BRYVL		0x49 0x01
330	BRYTL		0x4a 0x01
331	BRVPG		0x4b 0x01
332	-----		0x4c 0x01
333	BRVYG		0x4d 0x01
334	BRVTG		0x4e 0x01
335	BRVLG		0x4f 0x01
336	BRVGP		0x50 0x01
337	-----		0x51 0x01
338	BRVYP		0x52 0x01
339	BRVTP		0x53 0x01
340	BRVLP		0x54 0x01
341	-----		0x55 0x01
342	-----		0x56 0x01
343	-----		0x57 0x01
344	-----		0x58 0x01
